lego_set_id,lego_set_title,rebrickable_lego_set_url,bricket_lego_set_url,brickpicker_lego_set_url
60026-1,town-square-traffic-2013,http://rebrickable.com/sets/60026-1/town-square-traffic-2013,http://brickset.com/sets/60026-1,http://www.brickpicker.com/bpms/set.cfm?set=60026-1
45560-1,ev3-expansion-set-ev3-2013,http://rebrickable.com/sets/45560-1/ev3-expansion-set-ev3-2013,http://brickset.com/sets/45560-1,http://www.brickpicker.com/bpms/set.cfm?set=45560-1
75020-1,jabba39%3Bs-sail-barge-star-wars-episode-456-2013,http://rebrickable.com/sets/75020-1/jabba39%3Bs-sail-barge-star-wars-episode-456-2013,http://brickset.com/sets/75020-1,http://www.brickpicker.com/bpms/set.cfm?set=75020-1
75019-1,at-te-star-wars-episode-2-2013,http://rebrickable.com/sets/75019-1/at-te-star-wars-episode-2-2013,http://brickset.com/sets/75019-1,http://www.brickpicker.com/bpms/set.cfm?set=75019-1
79014-1,dol-guldur-battle-the-hobbit-2013,http://rebrickable.com/sets/79014-1/dol-guldur-battle-the-hobbit-2013,http://brickset.com/sets/79014-1,http://www.brickpicker.com/bpms/set.cfm?set=79014-1
31012-1,family-house-building-2013,http://rebrickable.com/sets/31012-1/family-house-building-2013,http://brickset.com/sets/31012-1,http://www.brickpicker.com/bpms/set.cfm?set=31012-1
79008-1,pirate-ship-ambush-the-lord-of-the-rings-2013,http://rebrickable.com/sets/79008-1/pirate-ship-ambush-the-lord-of-the-rings-2013,http://brickset.com/sets/79008-1,http://www.brickpicker.com/bpms/set.cfm?set=79008-1
60004-1,fire-station-fire-2013,http://rebrickable.com/sets/60004-1/fire-station-fire-2013,http://brickset.com/sets/60004-1,http://www.brickpicker.com/bpms/set.cfm?set=60004-1
42006-1,excavator-technic-2013,http://rebrickable.com/sets/42006-1/excavator-technic-2013,http://brickset.com/sets/42006-1,http://www.brickpicker.com/bpms/set.cfm?set=42006-1
70705-1,bug-obliterator-galaxy-squad-2013,http://rebrickable.com/sets/70705-1/bug-obliterator-galaxy-squad-2013,http://brickset.com/sets/70705-1,http://www.brickpicker.com/bpms/set.cfm?set=70705-1
79111-1,constitution-train-chase-the-lone-ranger-2013,http://rebrickable.com/sets/79111-1/constitution-train-chase-the-lone-ranger-2013,http://brickset.com/sets/79111-1,http://www.brickpicker.com/bpms/set.cfm?set=79111-1
20215-1,mba-invention-designer-40%3Bkits-10-1241%3B-master-building-academy-2013,http://rebrickable.com/sets/20215-1/mba-invention-designer-40%3Bkits-10-1241%3B-master-building-academy-2013,http://brickset.com/sets/20215-1,http://www.brickpicker.com/bpms/set.cfm?set=20215-1
79007-1,battle-at-the-black-gate-the-lord-of-the-rings-2013,http://rebrickable.com/sets/79007-1/battle-at-the-black-gate-the-lord-of-the-rings-2013,http://brickset.com/sets/79007-1,http://www.brickpicker.com/bpms/set.cfm?set=79007-1
41015-1,dolphin-cruiser-friends-2013,http://rebrickable.com/sets/41015-1/dolphin-cruiser-friends-2013,http://brickset.com/sets/41015-1,http://www.brickpicker.com/bpms/set.cfm?set=41015-1
70009-1,worriz39%3Bs-combat-lair-legends-of-chima-2013,http://rebrickable.com/sets/70009-1/worriz39%3Bs-combat-lair-legends-of-chima-2013,http://brickset.com/sets/70009-1,http://www.brickpicker.com/bpms/set.cfm?set=70009-1
79104-2,the-shellraiser-street-chase-v2.0-teenage-mutant-ninja-turtles-2013,http://rebrickable.com/sets/79104-2/the-shellraiser-street-chase-v2.0-teenage-mutant-ninja-turtles-2013,http://brickset.com/sets/79104-2,http://www.brickpicker.com/bpms/set.cfm?set=79104-2
70014-1,the-croc-swamp-hideout-legends-of-chima-2013,http://rebrickable.com/sets/70014-1/the-croc-swamp-hideout-legends-of-chima-2013,http://brickset.com/sets/70014-1,http://www.brickpicker.com/bpms/set.cfm?set=70014-1
79110-1,silver-mine-shootout-the-lone-ranger-2013,http://rebrickable.com/sets/79110-1/silver-mine-shootout-the-lone-ranger-2013,http://brickset.com/sets/79110-1,http://www.brickpicker.com/bpms/set.cfm?set=79110-1
60022-1,cargo-terminal-airport-2013,http://rebrickable.com/sets/60022-1/cargo-terminal-airport-2013,http://brickset.com/sets/60022-1,http://www.brickpicker.com/bpms/set.cfm?set=60022-1
31011-1,aviation-adventures-airport-2013,http://rebrickable.com/sets/31011-1/aviation-adventures-airport-2013,http://brickset.com/sets/31011-1,http://www.brickpicker.com/bpms/set.cfm?set=31011-1
79104-1,the-shellraiser-street-chase-teenage-mutant-ninja-turtles-2013,http://rebrickable.com/sets/79104-1/the-shellraiser-street-chase-teenage-mutant-ninja-turtles-2013,http://brickset.com/sets/79104-1,http://www.brickpicker.com/bpms/set.cfm?set=79104-1
10662-1,lego-creative-bucket-basic-set-2013,http://rebrickable.com/sets/10662-1/lego-creative-bucket-basic-set-2013,http://brickset.com/sets/10662-1,http://www.brickpicker.com/bpms/set.cfm?set=10662-1
31313-1,mindstorms-ev3-ev3-2013,http://rebrickable.com/sets/31313-1/mindstorms-ev3-ev3-2013,http://brickset.com/sets/31313-1,http://www.brickpicker.com/bpms/set.cfm?set=31313-1
